seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0,0.114875657,-0.178686687,0.193971796,,9.439445877,3.227917766571045,0.4778466820716858,9.392825762430826,3.309672554334005,0.4103690832853317
0.1,0.948329926,-0.305089998,-0.303076813,,10.91148897,2.6897501945495605,-0.112027602,10.911488966508346,2.6897501945495605,-0.112027602
0.2,-0.951273918,0.121706247,0.476246533,,8.975597382,3.2705099821090697,0.7018148899078369,8.975597381591797,3.2705099821090697,0.7018148899078369
0.3,-0.923491335,0.02732594,0.563940725,,8.73206234,3.058897473595359,0.7220886160026897,8.732062339782715,3.058897473595359,0.7220886160026897
0.4,0.452748299,0.484262336,1.905794221,,10.30337472,3.5484363555908205,2.351187478750944,10.30337471961975,3.5484363555908205,2.351187478750944
0.5,-2.184555769,0.836768198,-0.369110793,,7.477462032,3.9771974953738125,-0.398622509,7.477462031624534,3.9771974953738125,-0.398622509
0.6,0.731179237,-0.223483627,-1.312462476,,10.20562797,2.9307291984558104,-1.884587118,10.205627965927125,2.9307291984558104,-1.884587118
0.7,2.012684155,-2.864635587,-0.54716754,,9.848749334,1.9485189697959207,-3.564544385,9.848749334161932,1.9485189697959207,-3.564544385
0.8,1.906671351,-5.357647506,1.315757643,,4.90133822,1.5877574682235718,-4.52949357,4.901338219642639,1.5877574682235718,-4.52949357
0.9,-0.114116305,0.23575573,-0.823093271,,-1.534451907,7.218167088248513,-7.951567216,-1.534451907,7.218167088248513,-7.951567216
1,-1.916584802,8.524262905,-1.238938904,,-4.438327023,14.07087402,-8.328338838,-4.438327023,14.07087402,-8.328338838
1.1,-3.925496448,5.441955263,5.107890216,,-3.444468032,9.786753264340488,-3.891490958,-3.444468032,9.786753264340488,-3.891490958
1.2,-0.837918413,-0.195981216,1.896827936,,-2.424766858,4.765784788131714,-6.693921328,-2.424766858,4.765784788131714,-6.693921328
